Date;Time;U(Volts);I(Amps);P(Wt);Pnom;L(Wt/m^2);T(deg.Cels.)
2021-04-23;0:00:02;90;1;1;1;1;1
2021-04-23;0:00:32;90;1;1;1;1;1
2021-04-23;0:01:02;90;1;1;1;1;1
2021-04-23;0:01:32;90;1;1;1;1;1
2021-04-23;0:02:02;90;1;1;1;1;1
2021-04-23;0:02:32;90;1;1;1;1;1
2021-04-23;0:03:02;90;1;1;1;1;1
2021-04-23;0:03:32;90;1;1;1;1;1
2021-04-23;0:04:02;90;1;1;1;1;1
2021-04-23;0:04:32;90;1;1;1;1;1
2021-04-23;0:05:02;90;1;1;1;1;1
2021-04-23;0:05:32;90;1;1;1;1;1
2021-04-23;0:06:02;90;1;1;1;1;1
2021-04-23;0:06:32;90;1;1;1;1;1
2021-04-23;0:07:02;90;1;1;1;1;1
2021-04-23;0:07:32;90;1;1;1;1;1
2021-04-23;0:08:02;90;1;1;1;1;1
2021-04-23;0:08:32;90;1;1;1;1;1
2021-04-23;0:09:02;90;1;1;1;1;1
2021-04-23;0:09:32;90;1;1;1;1;1
2021-04-23;0:10:02;90;1;1;1;1;1
2021-04-23;0:10:32;90;1;1;1;1;1
2021-04-23;0:11:02;90;1;1;1;1;1
2021-04-23;0:11:32;90;1;1;1;1;1
2021-04-23;0:12:02;90;1;1;1;1;1
2021-04-23;0:12:32;90;1;1;1;1;1
2021-04-23;0:13:02;90;1;1;1;1;1
2021-04-23;0:13:32;90;1;1;1;1;1
2021-04-23;0:14:02;90;1;1;1;1;1
2021-04-23;0:14:32;90;1;1;1;1;1
2021-04-23;0:15:02;90;1;1;1;1;1
2021-04-23;0:15:32;90;1;1;1;1;1
2021-04-23;0:16:02;90;1;1;1;1;1
2021-04-23;0:16:32;90;1;1;1;1;1
2021-04-23;0:17:02;90;1;1;1;1;1
2021-04-23;0:17:32;90;1;1;1;1;1
2021-04-23;0:18:02;90;1;1;1;1;1
2021-04-23;0:18:32;90;1;1;1;1;1
2021-04-23;0:19:02;90;1;1;1;1;1
2021-04-23;0:19:32;90;1;1;1;1;1
2021-04-23;0:20:02;90;1;1;1;1;1
2021-04-23;0:20:32;90;1;1;1;1;1
2021-04-23;0:21:02;90;1;1;1;1;1
2021-04-23;0:21:32;90;1;1;1;1;1
2021-04-23;0:22:02;90;1;1;1;1;1
2021-04-23;0:22:32;90;1;1;1;1;1
2021-04-23;0:23:02;90;1;1;1;1;1
2021-04-23;0:23:32;90;1;1;1;1;1
2021-04-23;0:24:02;90;1;1;1;1;1
2021-04-23;0:24:32;90;1;1;1;1;1
2021-04-23;0:25:02;90;1;1;1;1;1
2021-04-23;0:25:32;90;1;1;1;1;1
2021-04-23;0:26:02;90;1;1;1;1;1
2021-04-23;0:26:32;90;1;1;1;1;1
2021-04-23;0:27:02;90;1;1;1;1;1
2021-04-23;0:27:32;90;1;1;1;1;1
2021-04-23;0:28:02;90;1;1;1;1;1
2021-04-23;0:28:32;90;1;1;1;1;1
2021-04-23;0:29:02;90;1;1;1;1;1
2021-04-23;0:29:32;90;1;1;1;1;1
2021-04-23;0:30:02;90;1;1;1;1;1
2021-04-23;0:30:32;90;1;1;1;1;1
2021-04-23;0:31:02;90;1;1;1;1;1
2021-04-23;0:31:32;90;1;1;1;1;1
2021-04-23;0:32:02;90;1;1;1;1;1
2021-04-23;0:32:32;90;1;1;1;1;1
2021-04-23;0:33:02;90;1;1;1;1;1
2021-04-23;0:33:32;90;1;1;1;1;1
2021-04-23;0:34:02;90;1;1;1;1;1
2021-04-23;0:34:32;90;1;1;1;1;1
2021-04-23;0:35:02;90;1;1;1;1;1
2021-04-23;0:35:32;90;1;1;1;1;1
2021-04-23;0:36:02;90;1;1;1;1;1
2021-04-23;0:36:32;90;1;1;1;1;1
2021-04-23;0:37:02;90;1;1;1;1;1
2021-04-23;0:37:32;90;1;1;1;1;1
2021-04-23;0:38:02;90;1;1;1;1;1
2021-04-23;0:38:32;90;1;1;1;1;1
2021-04-23;0:39:02;90;1;1;1;1;1
2021-04-23;0:39:32;90;1;1;1;1;1
2021-04-23;0:40:02;90;1;1;1;1;1
2021-04-23;0:40:32;90;1;1;1;1;1
2021-04-23;0:41:02;90;1;1;1;1;1
2021-04-23;0:41:32;90;1;1;1;1;1
2021-04-23;0:42:02;90;1;1;1;1;1
2021-04-23;0:42:32;90;1;1;1;1;1
2021-04-23;0:43:02;90;1;1;1;1;1
2021-04-23;0:43:32;90;1;1;1;1;1
2021-04-23;0:44:02;90;1;1;1;1;1
2021-04-23;0:44:32;90;1;1;1;1;1
2021-04-23;0:45:02;90;1;1;1;1;1
2021-04-23;0:45:32;90;1;1;1;1;1
2021-04-23;0:46:02;90;1;1;1;1;1
2021-04-23;0:46:32;90;1;1;1;1;1
2021-04-23;0:47:02;90;1;1;1;1;1
2021-04-23;0:47:32;90;1;1;1;1;1
2021-04-23;0:48:02;90;1;1;1;1;1
2021-04-23;0:48:32;90;1;1;1;1;1
2021-04-23;0:49:02;90;1;1;1;1;1
2021-04-23;0:49:32;90;1;1;1;1;1
2021-04-23;0:50:02;90;1;1;1;1;1
2021-04-23;0:50:32;90;1;1;1;1;1
2021-04-23;0:51:02;90;1;1;1;1;1
2021-04-23;0:51:32;90;1;1;1;1;1
2021-04-23;0:52:02;90;1;1;1;1;1
2021-04-23;0:52:32;90;1;1;1;1;1
2021-04-23;0:53:02;90;1;1;1;1;1
2021-04-23;0:53:32;90;1;1;1;1;1
2021-04-23;0:54:02;90;1;1;1;1;1
2021-04-23;0:54:32;90;1;1;1;1;1
2021-04-23;0:55:02;90;1;1;1;1;1
2021-04-23;0:55:32;90;1;1;1;1;1
2021-04-23;0:56:02;90;1;1;1;1;1
2021-04-23;0:56:32;90;1;1;1;1;1
2021-04-23;0:57:02;90;1;1;1;1;1
2021-04-23;0:57:32;90;1;1;1;1;1
2021-04-23;0:58:02;90;1;1;1;1;1
2021-04-23;0:58:32;90;1;1;1;1;1
2021-04-23;0:59:02;90;1;1;1;1;1
2021-04-23;0:59:32;90;1;1;1;1;1
2021-04-23;1:00:02;90;1;1;1;1;1
2021-04-23;1:00:32;90;1;1;1;1;1
2021-04-23;1:01:02;90;1;1;1;1;1
2021-04-23;1:01:32;90;1;1;1;1;1
2021-04-23;1:02:02;90;1;1;1;1;1
2021-04-23;1:02:32;90;1;1;1;1;1
2021-04-23;1:03:02;90;1;1;1;1;1
2021-04-23;1:03:32;90;1;1;1;1;1
2021-04-23;1:04:02;90;1;1;1;1;1
2021-04-23;1:04:32;90;1;1;1;1;1
2021-04-23;1:05:02;90;1;1;1;1;1
2021-04-23;1:05:32;90;1;1;1;1;1
2021-04-23;1:06:02;90;1;1;1;1;1
2021-04-23;1:06:32;90;1;1;1;1;1
2021-04-23;1:07:02;90;1;1;1;1;1
2021-04-23;1:07:32;90;1;1;1;1;1
2021-04-23;1:08:02;90;1;1;1;1;1
2021-04-23;1:08:32;90;1;1;1;1;1
2021-04-23;1:09:02;90;1;1;1;1;1
2021-04-23;1:09:32;90;1;1;1;1;1
2021-04-23;1:10:02;90;1;1;1;1;1
2021-04-23;1:10:32;90;1;1;1;1;1
2021-04-23;1:11:02;90;1;1;1;1;1
2021-04-23;1:11:32;90;1;1;1;1;1
2021-04-23;1:12:02;90;1;1;1;1;1
2021-04-23;1:12:32;90;1;1;1;1;1
2021-04-23;1:13:02;90;1;1;1;1;1
2021-04-23;1:13:32;90;1;1;1;1;1
2021-04-23;1:14:02;90;1;1;1;1;1
2021-04-23;1:14:32;90;1;1;1;1;1
2021-04-23;1:15:02;90;1;1;1;1;1
2021-04-23;1:15:32;90;1;1;1;1;1
2021-04-23;1:16:02;90;1;1;1;1;1
2021-04-23;1:16:32;90;1;1;1;1;1
2021-04-23;1:17:02;90;1;1;1;1;1
2021-04-23;1:17:32;90;1;1;1;1;1
2021-04-23;1:18:02;90;1;1;1;1;1
2021-04-23;1:18:32;90;1;1;1;1;1
2021-04-23;1:19:02;90;1;1;1;1;1
2021-04-23;1:19:32;90;1;1;1;1;1
2021-04-23;1:20:02;90;1;1;1;1;1
2021-04-23;1:20:32;90;1;1;1;1;1
2021-04-23;1:21:02;90;1;1;1;1;1
2021-04-23;1:21:32;90;1;1;1;1;1
2021-04-23;1:22:02;90;1;1;1;1;1
2021-04-23;1:22:32;90;1;1;1;1;1
2021-04-23;1:23:02;90;1;1;1;1;1
2021-04-23;1:23:32;90;1;1;1;1;1
2021-04-23;1:24:02;90;1;1;1;1;1
2021-04-23;1:24:32;90;1;1;1;1;1
2021-04-23;1:25:02;90;1;1;1;1;1
2021-04-23;1:25:32;90;1;1;1;1;1
2021-04-23;1:26:02;90;1;1;1;1;1
2021-04-23;1:26:32;90;1;1;1;1;1
2021-04-23;1:27:02;90;1;1;1;1;1
2021-04-23;1:27:32;90;1;1;1;1;1
2021-04-23;1:28:02;90;1;1;1;1;1
2021-04-23;1:28:32;90;1;1;1;1;1
2021-04-23;1:29:02;90;1;1;1;1;1
2021-04-23;1:29:32;90;1;1;1;1;1
2021-04-23;1:30:02;90;1;1;1;1;1
2021-04-23;1:30:32;90;1;1;1;1;1
2021-04-23;1:31:02;90;1;1;1;1;1
2021-04-23;1:31:32;90;1;1;1;1;1
2021-04-23;1:32:02;90;1;1;1;1;1
2021-04-23;1:32:32;90;1;1;1;1;1
2021-04-23;1:33:02;90;1;1;1;1;1
2021-04-23;1:33:32;90;1;1;1;1;1
2021-04-23;1:34:02;90;1;1;1;1;1
2021-04-23;1:34:32;90;1;1;1;1;1
2021-04-23;1:35:02;90;1;1;1;1;1
2021-04-23;1:35:32;90;1;1;1;1;1
2021-04-23;1:36:02;90;1;1;1;1;1
2021-04-23;1:36:32;90;1;1;1;1;1
2021-04-23;1:37:02;90;1;1;1;1;1
2021-04-23;1:37:32;90;1;1;1;1;1
2021-04-23;1:38:02;90;1;1;1;1;1
2021-04-23;1:38:32;90;1;1;1;1;1
2021-04-23;1:39:02;90;1;1;1;1;1
2021-04-23;1:39:32;90;1;1;1;1;1
2021-04-23;1:40:02;90;1;1;1;1;1
2021-04-23;1:40:32;90;1;1;1;1;1
2021-04-23;1:41:02;90;1;1;1;1;1
2021-04-23;1:41:32;90;1;1;1;1;1
2021-04-23;1:42:02;90;1;1;1;1;1
2021-04-23;1:42:32;90;1;1;1;1;1
2021-04-23;1:43:02;90;1;1;1;1;1
2021-04-23;1:43:32;90;1;1;1;1;1
2021-04-23;1:44:02;90;1;1;1;1;1
2021-04-23;1:44:32;90;1;1;1;1;1
2021-04-23;1:45:02;90;1;1;1;1;1
2021-04-23;1:45:32;90;1;1;1;1;1
2021-04-23;1:46:02;90;1;1;1;1;1
2021-04-23;1:46:32;90;1;1;1;1;1
2021-04-23;1:47:02;90;1;1;1;1;1
2021-04-23;1:47:32;90;1;1;1;1;1
2021-04-23;1:48:02;90;1;1;1;1;1
2021-04-23;1:48:32;1;1;1;1;1;1
2021-04-23;1:49:02;1;1;1;1;1;1
2021-04-23;1:49:32;1;1;1;1;1;1
2021-04-23;1:50:02;1;1;1;1;1;1
2021-04-23;1:50:32;1;1;1;1;1;1
