Date;Time;U(Volts);I(Amps);P(Wt);Pnom;L(Wt/m^2);T(deg.Cels.)
2015-03-02;00:00:02;0.04;0;0;0;-0.3;0.5
2015-03-02;00:00:32;0.19;0;0;0;-0.4;0.4
2015-03-02;00:01:02;0.01;0;0;0;-0.4;0.4
2015-03-02;00:01:32;0.04;0;0;0;-0.4;0.5
2015-03-02;00:02:02;0;0;0;0;-0.4;0.5
2015-03-02;00:02:32;0.17;0;0;0;-0.4;0.5
2015-03-02;00:03:02;0.1;0;0;0;-0.3;0.5
2015-03-02;00:03:32;0.02;0;0;0;-0.3;0.5
2015-03-02;00:04:02;0.18;0;0;0;-0.4;0.5
2015-03-02;00:04:32;0;0;0;0;-0.4;0.6
2015-03-02;00:05:02;0.09;0;0;0;-0.4;0.5
2015-03-02;00:05:32;0.05;0;0;0;-0.3;0.5
2015-03-02;00:06:02;0.02;0;0;0;-0.4;0.5
2015-03-02;00:06:32;0.14;0;0;0;-0.3;0.5
2015-03-02;00:07:02;0.18;0;0;0;-0.3;0.5
2015-03-02;00:07:32;0.03;0;0;0;-0.4;0.5
2015-03-02;00:08:02;0.14;0;0;0;-0.4;0.5
2015-03-02;00:08:32;0.09;0;0;0;-0.4;0.5
2015-03-02;00:09:02;0.18;0;0;0;-0.4;0.6
2015-03-02;00:09:32;0.02;0;0;0;-0.3;0.5
2015-03-02;00:10:02;0.19;0;0;0;-0.4;0.5
2015-03-02;00:10:32;0.15;0;0;0;-0.4;0.5
2015-03-02;00:11:02;0.06;0;0;0;-0.4;0.5
2015-03-02;00:11:32;0.05;0;0;0;-0.4;0.6
2015-03-02;00:12:02;0.19;0;0;0;-0.4;0.6
2015-03-02;00:12:32;0.06;0;0;0;-0.4;0.6
2015-03-02;00:13:02;0.17;0;0;0;-0.4;0.6
2015-03-02;00:13:32;0.15;0;0;0;-0.3;0.6
2015-03-02;00:14:02;0.01;0;0;0;-0.4;0.7
2015-03-02;00:14:32;0.04;0;0;0;-0.4;0.6
2015-03-02;00:15:02;0.04;0;0;0;-0.4;0.6
2015-03-02;00:15:32;0.01;0;0;0;-0.4;0.7
2015-03-02;00:16:02;0.15;0;0;0;-0.4;0.6
2015-03-02;00:16:32;0.01;0;0;0;-0.4;0.6
2015-03-02;00:17:02;0.18;0;0;0;-0.4;0.6
2015-03-02;00:17:32;0.08;0;0;0;-0.3;0.6
2015-03-02;00:18:02;0.06;0;0;0;-0.3;0.6
2015-03-02;00:18:32;0.18;0;0;0;-0.3;0.6
2015-03-02;00:19:02;0.05;0;0;0;-0.4;0.7
2015-03-02;00:19:32;0.15;0;0;0;-0.4;0.7
2015-03-02;00:20:02;0.06;0;0;0;-0.4;0.6
2015-03-02;00:20:32;0.16;0;0;0;-0.4;0.6
2015-03-02;00:21:02;0.15;0;0;0;-0.3;0.5
2015-03-02;00:21:32;0.05;0;0;0;-0.4;0.6
2015-03-02;00:22:02;0.17;0;0;0;-0.4;0.7
2015-03-02;00:22:32;0.05;0;0;0;-0.4;0.6
2015-03-02;00:23:02;0.15;0;0;0;-0.4;0.6
2015-03-02;00:23:32;0.19;0;0;0;-0.4;0.6
2015-03-02;00:24:02;0.08;0;0;0;-0.4;0.6
2015-03-02;00:24:32;0.01;0;0;0;-0.4;0.7
2015-03-02;00:25:02;0.01;0;0;0;-0.3;0.6
2015-03-02;00:25:32;0.06;0;0;0;-0.4;0.6
2015-03-02;00:26:02;0.05;0;0;0;-0.4;0.6
2015-03-02;00:26:32;0.15;0;0;0;-0.3;0.6
2015-03-02;00:27:02;0.14;0;0;0;-0.4;0.5
2015-03-02;00:27:32;0.08;0;0;0;-0.4;0.5
2015-03-02;00:28:02;0.08;0;0;0;-0.4;0.5
2015-03-02;00:28:32;0.05;0;0;0;-0.4;0.6
2015-03-02;00:29:02;0.04;0;0;0;-0.4;0.6
2015-03-02;00:29:32;0.08;0;0;0;-0.4;0.6
2015-03-02;00:30:02;0.01;0;0;0;-0.4;0.6
2015-03-02;00:30:32;0.04;0;0;0;-0.4;0.6
2015-03-02;00:31:02;0.07;0;0;0;-0.3;0.6
2015-03-02;00:31:32;0;0;0;0;-0.4;0.6
2015-03-02;00:32:02;0.17;0;0;0;-0.3;0.6
2015-03-02;00:32:32;0.12;0;0;0;-0.4;0.6
